0.7241, 0.6513, 0.0030
0.7096, 0.6513, 0.1416
0.6671, 0.6513, 0.2749
0.5990, 0.6514, 0.3980
0.5085, 0.6515, 0.5062
0.3995, 0.6515, 0.5953
0.2765, 0.6516, 0.6618
0.1444, 0.6517, 0.7033
0.0085, 0.6517, 0.7182
-0.1259, 0.6393, 0.7195
-0.2532, 0.6022, 0.7207
-0.3681, 0.5420, 0.7218
-0.4670, 0.4609, 0.7228
-0.5482, 0.3621, 0.7236
-0.6085, 0.2494, 0.7241
-0.6455, 0.1272, 0.7243
-0.6580, -0.0000, 0.7243
-0.6455, -0.1272, 0.7243
-0.6085, -0.2495, 0.7241
-0.5482, -0.3622, 0.7236
-0.4671, -0.4609, 0.7229
-0.3681, -0.5420, 0.7219
-0.2532, -0.6023, 0.7207
-0.1259, -0.6394, 0.7195
0.0084, -0.6520, 0.7183
0.1444, -0.6520, 0.7034
0.2765, -0.6521, 0.6619
0.3995, -0.6522, 0.5953
0.5085, -0.6522, 0.5063
0.5990, -0.6523, 0.3981
0.6670, -0.6524, 0.2750
0.7095, -0.6524, 0.1416
0.7240, -0.6524, 0.0030
0.7094, -0.6524, -0.1357
0.6668, -0.6523, -0.2693
0.5986, -0.6523, -0.3929
0.5080, -0.6522, -0.5017
0.3988, -0.6521, -0.5914
0.2756, -0.6520, -0.6586
0.1433, -0.6519, -0.7007
0.0072, -0.6519, -0.7161
-0.1273, -0.6393, -0.7177
-0.2547, -0.6021, -0.7192
-0.3697, -0.5419, -0.7204
-0.4688, -0.4608, -0.7213
-0.5500, -0.3620, -0.7220
-0.6104, -0.2493, -0.7225
-0.6474, -0.1271, -0.7227
-0.6599, 0.0001, -0.7227
-0.6474, 0.1273, -0.7227
-0.6103, 0.2496, -0.7225
-0.5500, 0.3623, -0.7221
-0.4688, 0.4610, -0.7214
-0.3697, 0.5421, -0.7204
-0.2547, 0.6023, -0.7193
-0.1272, 0.6394, -0.7178
0.0073, 0.6518, -0.7161
0.1434, 0.6518, -0.7008
0.2757, 0.6517, -0.6587
0.3989, 0.6516, -0.5915
0.5080, 0.6515, -0.5017
0.5987, 0.6515, -0.3930
0.6669, 0.6514, -0.2694
0.7095, 0.6513, -0.1358
0.7241, 0.6513, 0.0030
